,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
BRPO,0.8,4.6,14.3,17.4,-5.2,-5.2,-5.2,-5.2,-5.2,,,,
CICA,3.1,15.3,39.1,81.3,112.8,128.7,101.3,-15.6,-17.0,,,,
EUSI,6.7,15.6,44.9,100.2,152.7,184.0,122.0,-11.2,-12.5,,,,
FRUH,2.0,21.2,60.6,123.5,178.2,212.0,230.4,231.1,216.2,,,,
FRVEG,1.6,8.3,21.9,32.6,-5.3,-5.3,-5.3,-5.3,-5.3,,,,
GIBI,2.6,11.8,23.6,32.7,35.0,33.3,-10.5,-11.8,-11.8,,,,
JAMI,1.7,9.7,21.9,22.8,18.2,-5.8,-5.8,-5.8,-5.8,,,,
LAIN,0.2,1.9,7.3,20.7,-5.2,-6.5,-7.9,-9.2,-9.2,,,,
LIST,1.1,8.7,22.7,43.6,58.2,59.9,26.7,-14.0,-15.3,,,,
LITU,1.2,9.7,27.4,51.0,66.1,58.0,-10.6,-11.9,-13.2,,,,
MAGR,0.9,5.4,17.5,38.5,62.3,82.8,93.3,-11.4,-12.8,,,,
PIBR2,0.6,12.2,31.2,53.4,70.7,85.1,95.8,-2.8,-2.8,,,,
PICA,1.9,9.5,36.9,84.7,139.0,182.4,211.6,218.9,198.0,,,,
PICH,0.9,6.6,12.9,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,,,
PLAC,2.7,14.4,39.4,63.6,43.8,-7.9,-7.9,-7.9,-7.9,,,,
PLRA,2.2,14.5,45.0,99.1,152.9,193.0,199.7,-14.3,-14.3,,,,
PYCA,8.2,20.6,42.9,39.3,-1.7,-1.7,-1.7,-1.7,-1.7,,,,
QUAG,5.1,18.8,49.5,94.0,140.6,173.8,193.3,190.5,165.0,,,,
QUIL2,5.7,19.6,63.0,148.5,271.9,435.7,642.8,-20.7,-20.7,,,,
SCMO,0.6,5.1,16.6,37.4,59.7,79.0,97.3,117.0,144.2,,,,
SCTE,2.0,7.7,23.1,53.7,88.4,128.7,170.4,-12.1,-12.1,,,,
PICO5,0.4,5.2,13.7,12.7,-0.7,-0.7,-0.7,-0.7,-0.7,,,,
PHCA,7.4,6.1,4.4,2.2,1.3,0.2,-1.4,-3.7,-3.7,,,,
PHDA4,5.5,6.0,5.5,5.5,5.0,3.8,1.0,-2.4,-2.4,,,,
WARO,13.2,12.9,11.4,9.4,8.6,7.5,6.2,4.9,-3.9,,,,
BDL OTHER,1.2,9.7,27.4,51.0,66.1,58.0,-10.6,-11.9,-13.2,,,,
BDM OTHER,8.2,20.6,42.9,39.3,-1.7,-1.7,-1.7,-1.7,-1.7,,,,
BDS OTHER,0.2,1.9,7.3,20.7,-5.2,-6.5,-7.9,-9.2,-9.2,,,,
BEL OTHER,3.1,15.3,39.1,81.3,112.8,128.7,101.3,-15.6,-17.0,,,,
BEM OTHER,0.9,5.4,17.5,38.5,62.3,82.8,93.3,-11.4,-12.8,,,,
BES OTHER,2.0,7.7,23.1,53.7,88.4,128.7,170.4,-12.1,-12.1,,,,
CEL OTHER,1.9,9.5,36.9,84.7,139.0,182.4,211.6,218.9,198.0,,,,
CEM OTHER,0.6,12.2,31.2,53.4,70.7,85.1,95.8,-2.8,-2.8,,,,
CES OTHER,0.4,5.2,13.7,12.7,-0.7,-0.7,-0.7,-0.7,-0.7,,,,
PEL OTHER,7.4,6.1,4.4,2.2,1.3,0.2,-1.4,-3.7,-3.7,,,,
PEM OTHER,5.5,6.0,5.5,5.5,5.0,3.8,1.0,-2.4,-2.4,,,,
PES OTHER,13.2,12.9,11.4,9.4,8.6,7.5,6.2,4.9,-3.9,,,,
,2,3,4,5,6,7,8,9,10,,,,
,,,,,,,,,,,,,
0,CO2 Sequestered less Releases(kg/tree),,,,,,0,,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,,
