#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BABL,0.0116,0.0416,0.1098,0.1098,0.1098,0.1098,0.1098,0.1098,0.1098
CAEQ,0.0115,0.0518,0.1206,0.2025,0.2854,0.3687,0.4439,0.5139,0.5748
CAIN4,0.0018,0.0310,0.1189,0.2440,0.3671,0.4836,0.5917,0.5917,0.5917
CANE33,0.0050,0.0555,0.1610,0.2981,0.4227,0.5323,0.6368,0.6368,0.6368
CISP2,0.0073,0.0568,0.1326,0.2189,0.2189,0.2189,0.2189,0.2189,0.2189
COERA2,0.0020,0.0211,0.0610,0.1280,0.1926,0.2526,0.3060,0.3560,0.4057
COSU2,0.0022,0.0263,0.0859,0.1756,0.1756,0.1756,0.1756,0.1756,0.1756
DERE,0.0040,0.0294,0.0911,0.1882,0.2853,0.3763,0.3763,0.3763,0.3763
ELOR2,0.0016,0.0247,0.0850,0.1712,0.2536,0.3316,0.3316,0.3316,0.3316
FIBE,0.0007,0.0277,0.1671,0.4354,0.7232,1.0328,1.3530,1.6819,2.0228
FIDE6,0.0066,0.0332,0.1117,0.2535,0.4264,0.4264,0.4264,0.4264,0.4264
ILPA2,0.0017,0.0204,0.0697,0.1389,0.1389,0.1389,0.1389,0.1389,0.1389
LASP,0.0052,0.0489,0.1413,0.2466,0.3429,0.4437,0.4437,0.4437,0.4437
MEQU,0.0039,0.0217,0.0500,0.0893,0.1227,0.1517,0.1758,0.1758,0.1758
PISA2,0.0009,0.0210,0.0880,0.2243,0.3871,0.5673,0.7604,0.9637,1.1744
SWMA,0.0197,0.0369,0.0887,0.1647,0.2518,0.3593,0.4915,0.4915,0.4915
TAAR,0.0017,0.0177,0.0638,0.1627,0.1627,0.1627,0.1627,0.1627,0.1627
TACH,0.0038,0.0535,0.1727,0.3176,0.4474,0.5622,0.6670,0.6670,0.6670
TAPA,0.0008,0.0193,0.0721,0.1496,0.2247,0.2984,0.3695,0.3695,0.3695
PIRA,0.0118,0.0402,0.1214,0.2304,0.3335,0.4410,0.5571,0.6898,0.8447
PIBR2,0.0042,0.0268,0.0830,0.1639,0.2288,0.2288,0.2288,0.2288,0.2288
PICO5,0.0027,0.0208,0.0785,0.1829,0.1829,0.1829,0.1829,0.1829,0.1829
CONU,0.0035,0.0380,0.0885,0.1064,0.0894,0.0615,0.0371,0.0205,0.0205
PHDA4,0.0029,0.0256,0.0585,0.0722,0.0740,0.0829,0.1084,0.1081,0.1081
VEME,0.0071,0.0232,0.0133,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
BDL OTHER,0.0009,0.0210,0.0880,0.2243,0.3871,0.5673,0.7604,0.9637,1.1744
BDM OTHER,0.0050,0.0555,0.1610,0.2981,0.4227,0.5323,0.6368,0.6368,0.6368
BDS OTHER,0.0040,0.0294,0.0911,0.1882,0.2853,0.3763,0.3763,0.3763,0.3763
BEL OTHER,0.0007,0.0277,0.1671,0.4354,0.7232,1.0328,1.3530,1.6819,2.0228
BEM OTHER,0.0073,0.0568,0.1326,0.2189,0.2189,0.2189,0.2189,0.2189,0.2189
BES OTHER,0.0124,0.0416,0.1098,0.1098,0.1098,0.1098,0.1098,0.1098,0.1098
CEL OTHER,0.0118,0.0402,0.1214,0.2304,0.3335,0.4410,0.5571,0.6898,0.8447
CEM OTHER,0.0042,0.0268,0.0830,0.1639,0.2288,0.2288,0.2288,0.2288,0.2288
CES OTHER,0.0027,0.0208,0.0785,0.1829,0.1829,0.1829,0.1829,0.1829,0.1829
PEL OTHER,0.0035,0.0380,0.0885,0.1064,0.0894,0.0615,0.0371,0.0205,0.0205
PEM OTHER,0.0029,0.0256,0.0585,0.0722,0.0740,0.0829,0.1084,0.1081,0.1081
PES OTHER,0.0071,0.0232,0.0133,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,NOx Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
